1000
29	48
60	57
49	44
91	62
29	72
43	70
82	49
90	42
53	40
79	59
98	72
30	68
60	31
24	39
52	43
35	40
93	15
72	16
39	65
21	54
33	60
61	32
65	27
41	18
53	59
40	26
27	74
22	24
53	51
36	20
54	44
51	53
81	66
20	61
94	66
37	49
53	20
65	28
55	65
45	32
21	74
99	54
37	15
46	71
97	44
67	52
71	70
37	56
48	67
61	57
35	44
30	48
61	56
81	15
53	63
77	49
43	69
26	40
59	59
54	60
62	19
84	41
40	50
94	44
89	67
89	48
46	52
27	46
89	40
31	47
38	34
61	25
81	16
46	59
87	62
35	52
56	60
33	22
74	56
43	70
80	31
30	47
94	24
39	55
84	47
65	18
67	68
62	27
64	53
73	29
41	26
71	19
74	29
28	49
56	73
88	25
30	28
81	72
35	73
39	51
83	54
94	32
38	22
22	48
37	72
65	17
22	18
72	49
70	18
89	56
24	54
36	65
75	38
94	37
29	49
21	50
51	18
55	51
40	35
88	48
36	47
48	45
51	63
31	18
65	27
45	23
28	47
64	22
56	20
68	65
35	55
55	53
94	74
71	73
69	18
45	32
35	33
58	45
44	57
55	67
39	67
84	69
40	68
57	65
60	33
32	25
79	16
48	47
27	57
65	39
34	25
55	45
91	16
94	62
25	17
85	59
72	58
66	34
89	47
51	17
60	62
57	33
92	23
63	25
95	71
52	50
30	16
76	19
54	32
21	28
96	55
82	42
59	39
61	15
54	17
73	48
45	46
92	38
76	23
68	59
58	60
87	22
70	28
68	52
22	45
91	49
60	24
27	65
20	74
84	44
69	46
79	69
41	65
42	51
30	33
49	32
74	31
79	26
86	54
86	31
84	68
98	70
32	20
24	24
55	18
50	57
46	21
29	72
21	71
87	61
95	74
59	57
30	50
91	29
53	68
20	35
33	47
75	58
63	63
80	25
83	22
33	18
95	54
96	49
32	62
34	67
85	18
45	63
51	31
83	48
36	63
79	47
24	17
63	62
53	38
52	27
35	55
98	64
86	41
81	43
70	34
26	52
77	22
62	21
38	67
46	31
21	26
97	73
49	52
20	69
29	25
31	60
51	73
75	23
25	44
98	72
60	33
93	67
78	22
85	70
60	40
64	47
24	23
34	74
76	15
56	26
54	67
48	42
34	34
38	59
55	38
23	59
91	37
81	57
41	19
39	29
84	19
51	56
69	51
76	30
83	56
53	18
22	61
62	53
96	42
76	40
91	19
58	21
50	64
71	56
49	43
77	52
80	27
51	36
57	54
87	49
69	73
96	60
97	74
77	21
87	22
79	63
50	64
48	59
67	32
45	63
96	15
91	33
97	62
44	64
51	25
32	32
69	22
84	70
29	58
31	38
28	46
87	28
78	69
40	70
88	54
80	26
47	17
69	51
26	53
82	25
73	68
77	55
97	41
35	29
22	41
69	66
31	70
76	41
34	54
66	18
63	37
97	59
53	73
95	50
61	26
86	43
95	72
77	27
84	24
40	32
77	15
91	39
22	68
22	40
46	25
54	40
24	58
70	32
94	73
39	74
60	50
78	64
68	23
93	26
36	44
70	15
51	32
46	47
58	48
76	47
95	46
40	35
81	39
53	28
46	40
42	64
93	31
82	22
42	19
84	68
97	65
37	65
63	39
22	61
51	20
84	37
42	57
24	73
47	38
24	27
77	56
88	61
37	63
27	22
61	27
40	39
79	63
65	20
44	40
83	36
49	53
86	28
69	68
63	27
37	63
82	68
21	51
33	31
99	41
69	59
45	69
40	25
87	38
70	43
30	72
74	70
67	56
86	19
88	52
32	34
41	68
92	57
54	36
52	23
70	32
28	66
83	18
23	43
51	54
51	28
41	19
26	30
29	66
43	33
82	20
53	36
42	33
58	41
99	47
79	43
99	44
87	65
88	64
30	47
72	36
74	26
